0.00,100.00
0.10,100.00
0.20,100.00
0.30,100.84
0.40,100.84
0.50,100.84
0.60,100.84
0.70,100.76
0.80,100.76
0.90,100.76
1.00,100.76
1.10,100.69
1.20,100.69
1.30,100.69
1.40,100.69
1.50,101.45
1.60,101.45
1.70,101.45
1.80,101.45
1.90,102.05
2.00,102.05
2.10,102.05
2.20,102.05
2.30,102.19
2.40,102.19
2.50,102.19
2.60,102.19
2.70,101.74
2.80,101.74
2.90,101.74
3.00,101.74
3.10,101.42
3.20,101.42
3.30,101.42
3.40,101.42
3.50,100.70
3.60,100.70
3.70,100.70
3.80,100.70
3.90,99.68
4.00,99.68
4.10,99.68
4.20,99.68
4.30,99.72
4.40,99.72
4.50,99.72
4.60,99.72
4.70,100.64
4.80,100.64
4.90,100.64
5.00,100.64
5.10,101.23
5.20,101.23
5.30,101.23
5.40,101.23
5.50,101.34
5.60,101.34
5.70,101.34
5.80,101.34
5.90,101.78
6.00,101.78
6.10,101.78
6.20,101.78
6.30,101.84
6.40,101.84
6.50,101.84
6.60,101.84
6.70,102.07
6.80,102.07
6.90,102.07
7.00,102.07
7.10,102.78
7.20,102.78
7.30,102.78
7.40,102.78
7.50,103.00
7.60,103.00
7.70,103.00
7.80,103.00
7.90,104.23
8.00,104.23
8.10,104.23
8.20,104.23
8.30,104.41
8.40,104.41
8.50,104.41
8.60,104.41
8.70,104.14
8.80,104.14
8.90,104.14
9.00,104.14
9.10,104.26
9.20,104.26
9.30,104.26
9.40,104.26
9.50,104.50
9.60,104.50
9.70,104.50
9.80,104.50
9.90,105.13
10.00,105.13
10.10,105.13
10.20,105.13
10.30,105.56
10.40,105.56
10.50,105.56
10.60,105.56
10.70,105.50
10.80,105.50
10.90,105.50
11.00,105.50
11.10,105.88
11.20,105.88
11.30,105.88
11.40,105.88
11.50,105.77
11.60,105.77
11.70,105.77
11.80,105.77
11.90,105.37
12.00,105.37
12.10,105.37
12.20,105.37
12.30,105.11
12.40,105.11
12.50,105.11
12.60,105.11
12.70,104.70
12.80,104.70
12.90,104.70
13.00,104.70
13.10,104.60
13.20,104.60
13.30,104.60
13.40,104.60
13.50,105.07
13.60,105.07
13.70,105.07
13.80,105.07
13.90,105.20
14.00,105.20
14.10,105.20
14.20,105.20
14.30,105.44
14.40,105.44
14.50,105.44
14.60,105.44
14.70,105.97
14.80,105.97
14.90,105.97
15.00,105.97
15.10,106.34
